Team,Avg_Squad_Age,Avg_International_Caps,Win_Rate_%,FIFA_Ranking_Oct_2025,Recent_Form
Canada,26.5,42.5,52.3,48,Improving
Mexico,27.2,38.2,49.8,14,Consistent
United States,26.1,45.8,48.5,27,Mixed
Japan,28,38.5,58.2,24,Strong
Iran,27.5,35.2,42.3,18,Decent
Uzbekistan,26.8,22.5,61.5,82,Very Strong
South Korea,27.3,48.3,55.8,19,Strong
Jordan,27,18.5,35.2,79,Weak
Australia,27.8,44.2,52.1,29,Good
Qatar,27.2,25.3,38.5,50,Weak
Saudi Arabia,26.9,32.1,42.8,51,Mixed
Morocco,27,46.2,54.6,12,Strong
Tunisia,26.8,41.5,48.2,42,Good
Egypt,27.5,39.8,39.5,37,Mixed
Algeria,27.2,43.5,42.3,30,Good
Ghana,26.5,28.4,45.8,61,Mixed
Cape Verde,25.8,8.5,52.1,145,Strong (New)
South Africa,27.4,37.6,46.3,74,Decent
Ivory Coast,27.1,42.1,49.5,49,Good
Senegal,26.9,35.4,51.3,18,Strong
Argentina,28.3,62.3,68.5,2,Very Strong
Brazil,27.9,54.8,62.3,7,Strong
Ecuador,26.5,48.2,55.2,44,Good
Uruguay,28.1,59.4,54.8,15,Very Strong
Paraguay,27.4,44.6,48.3,68,Decent
Colombia,27.6,51.2,52.6,47,Strong
New Zealand,27.3,36.8,40.2,39,Weak
England,26.8,52.4,58.3,4,Very Strong
